author_id,author_name
1,Aijun Ge
2,Allison Lewko
3,Amit Sahai
4,Berk Sunar
5,Boaz Barak
6,Brent Waters
7,Chris Peikert
8,Christiane Peters
9,Craig Gentry
10,Damien Stehle
11,Dan Boneh
12,Daniel Bernstein
13,Daniele Micciancio
14,David Cash
15,Dennis Hofheinz
16,Dhinakaran Vinayagamurthy
17,Edoardo Persichetti
18,Eike Kiltz
19,Erdem Alkim
20,Erkay Savas
21,Eu-Jin Goh
22,Gerard Ryan
23,Gil Segev
24,Gregor Seiler
25,Hadi Sajjadpour
26,Hoeteck Wee
27,Ilan Komargodski
28,Ingo von Maurich
29,Jacob Zhang
30,Jakub Szefer
31,Jintai Ding
32,John Schanck
33,Joost Rijneveld
34,Joppe Bos
35,Kamil Doruk Gur
36,Kurt Rohloff
37,Leo Ducas
38,Marten van Dijk
39,Matthew Franklin
40,Melissa Chase
41,Miklos Ajtai
42,Monosij Maitra
43,Nicolas Sendrier
44,Oded Regev
45,Omer Paneth
46,Omkant Pandey
47,Peter Schwabe
48,Pratish Datta
49,Rafael Misoczki
50,Roberto Avanzi
51,Ruben Niederhagen
52,Sanjam Garg
53,Sergey Gorbunov
54,Shafi Goldwasser
55,Shai Halevi
56,Shota Yamada
57,Shweta Agrawal
58,Tancrede Lepoint
59,Tanja Lange
60,Thomas Poppelmann
61,Tung Chou
62,Vadim Lyubashevsky
63,Valeria Nikolaenko
64,Vinod Vaikuntanathan
65,Vipul Goyal
66,Wei Dai
67,Wen Wang
68,Xavier Boyen
69,Yael Tauman Kalai
70,Yarkin Doroz
71,Yuriy Polyakov
72,Zhenfeng Zhang
73,Zvika Brakerski
74,Shanxiang Lyu
75,Dustin Moody
76,Jan-Pieter D'Anvers
77,Angshuman Karmakar
78,Sujoy Sinha Roy
79,Frederik Vercauteren
80,Daniel J. Bernstein
81,Carlos Cid
82,Jan Gilcher
83,Varun Maram
84,Cen Jung Tjhai
85,Martin Tomlinson
86,Joppe W. Bos
87,Patrick Longa
88,Ilya Mironov
89,Michael Naehrig
90,Ananth Raghunathan
91,Douglas Stebila
92,Andrea Basso
93,Jose Maria Bermudo Mera
94,Michiel Van Beirendonck
95,Gorjan Alagic
96,David Cooper
97,Quynh Dang
98,Thinh Dang
99,John M. Kelsey
100,Jacob Lichtinger
101,Yi-Kai Liu
102,Carl A. Miller
103,Rene Peralta
104,Ray Perlner
105,Angela Robinson
106,Daniel Smith-Tone
107,Daniel Apon
108,Yang Wang
109,Mingqiang Wang
110,Richard Lindner
111,Yupu Hu
112,Shanshan Zhang
113,Jiangshan Cheng
114,Baocang Wang
115,Yao-Ching Hsieh
116,Huijia Lin
117,Ji Luo
118,Shuiyin Liu
119,Amin Sakzad
120,Xingbing Fu
121,Yong Ding
122,Haifeng Li
123,Jianting Ning
124,Ting Wu
125,Fagen Li
126,Jiaqi Liu
127,Yuanyi Zhang
128,Fang-Wei Fu
