citing_paper_id,cited_paper_id
2,1
18,1
28,1
30,1
12,1
13,1
3,2
4,2
9,2
13,2
17,2
5,3
37,3
5,4
43,4
13,9
38,9
37,9
13,10
40,10
33,10
14,13
16,13
37,13
38,13
40,13
44,13
45,13
16,14
40,14
40,8
40,9
40,15
40,16
40,17
40,41
40,44
37,1
37,2
37,8
37,10
37,11
38,2
10,8
9,8
11,8
13,12
12,6
12,7
20,18
22,18
27,18
32,18
22,32
20,27
20,22
20,32
21,18
21,27
26,20
26,21
26,23
26,24
26,25
39,20
36,9
35,9
35,13
44,41
45,9
45,38
1,29
28,29
30,28
11,43
